id,title,company,location,salary,job_type,experience_level,remote,skill_match_score,matched_skills,skills_required,source_portal,url,apply_url,posted_date,scraped_at,description
0f7fc5f37b42787ef6262766992248ba,Head of Sales,The Land Geek,Worldwide,$109k - $228k,contract,,True,0.286,"real, based","teaching, CRM, analytics, startup, R, hubspot, performance management, sales leadership",remotive,https://remotive.com/remote-jobs/sales/head-of-sales-2090943,https://remotive.com/remote-jobs/sales/head-of-sales-2090943,2026-06-03T20:53:10,2026-06-09T22:40:41.056663,"<div class=""h3"" dir=""ltr"" style=""line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;""><span style=""color: #ff683d; background-color: transparent; font-weight: bold; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Who We Are</span></div> <p dir=""ltr"" style=""line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;""><span style=""color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: norma..."
bab5e7b9c8d5acbdda3aeea35c12444f,Data Labeling Specialists,Workada,USA,$18 - $22/hr,freelance,,True,0.286,"real, based","research, digital content, spreadsheets",remotive,https://remotive.com/remote-jobs/data/data-labeling-specialists-2090903,https://remotive.com/remote-jobs/data/data-labeling-specialists-2090903,2026-05-27T07:12:56,2026-06-09T22:40:41.107415,"<p><u>Who We Are</u><br><br>Workada creates high-quality labeled data for advanced technology systems. Our team reviews, organizes, categorizes, evaluates, and quality-checks digital content so those systems can better understand information and perform real-world tasks.<br>We believe careful data work matters. Every reviewed item, categorized example, and quality-checked task helps improve how technology interprets information, follows instructions, and responds in practical settings.<br><br><u..."
0e8cd7e52d93fd0cca582ac6da3c4c8b,Mid/Senior AI Cinematic Video Editor,EverAI,Worldwide,,full_time,,True,0.286,"real, based","excel, video, AI/ML, customer acquisition, graphic design, video production, after effects, editing, SOLID, REST, insurance",remotive,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2090887,https://remotive.com/remote-jobs/artificial-intelligence/mid-senior-ai-cinematic-video-editor-2090887,2026-05-19T20:34:33,2026-06-09T22:40:41.116988,"<p class=""h1"" style=""line-height: 28px; padding: 0px; font-weight: 500; color: #373e4d;"">Our Vision &amp; Products</p> <p style=""line-height: 24px; margin: 8px 0px 0px; padding: 0px; color: #373e4d; min-height: 1.5em;""><em><span style=""font-weight: 600;"">🚀 EverAI — Building the Future of AI Companionship</span></em></p> <p style=""line-height: 24px; margin: 8px 0px 0px; padding: 0px; color: #373e4d; min-height: 1.5em;""><em>One of the Top 15 Largest &amp; Fastest-Growing AI Companies in the World<..."
cd2dd51d815e0094e3208d579340c57c,Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones",$170k - $200k,full_time,,True,0.286,"real, based","api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture",remotive,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-05-14T20:46:05,2026-06-09T22:40:41.132113,"<p class=""h1"" dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 24pt; margin-bottom: 0pt; padding: 0pt 0pt 6pt 0pt;""><span style=""color: #000000; font-weight: bold; white-space-collapse: preserve;"">About Mitre Media</span></p> <p dir=""ltr"" style=""line-height: 1.38; background-color: #ffffff; margin-top: 0pt; margin-bottom: 0pt; padding: 0pt 0pt 18pt 0pt;""><span style=""color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: norma..."
fab5d93119a9450373af148c744c5516,Business Transformation Lead,Expion Health,USA,$175k - $225k,full_time,,True,0.286,"real, based","api, AI/ML, automation, healthcare, spark, startup, infrastructure, insurance",remotive,https://remotive.com/remote-jobs/artificial-intelligence/business-transformation-lead-2090881,https://remotive.com/remote-jobs/artificial-intelligence/business-transformation-lead-2090881,2026-05-13T06:46:26,2026-06-09T22:40:41.139311,"<p><strong>Title</strong>: Business Transformation Lead</p> <p><strong>Location</strong>: Fully Remote</p> <p><strong>Reports To</strong>: President, Service &amp; Growth</p> <p> </p> <p>Expion Health is building the future of pharmacy economics. As architects of prescription economics, we design how pharmacy value is created, aligning cost, clinical decisions, and performance into one accountable system that moves beyond rebates. We help organizations stay ahead of pharmacy market change with c..."
ee7c423b2c723292d19cdd7860c16898,Director of Revenue Systems and AI Automation (Offshore) ,Caul Group,LATAM,$60k–$72k,contract,,True,0.286,"real, based","api, AI/ML, automation, documentation, CRM, analytics, systems architecture, onboarding, infrastructure, REST",remotive,https://remotive.com/remote-jobs/artificial-intelligence/director-of-revenue-systems-and-ai-automation-offshore-2090878,https://remotive.com/remote-jobs/artificial-intelligence/director-of-revenue-systems-and-ai-automation-offshore-2090878,2026-05-11T07:18:36,2026-06-09T22:40:41.146103,"<p dir=""ltr"" style=""line-height: 1.38; text-align: center; margin-top: 12pt; margin-bottom: 12pt;""><strong><span style=""color: #000000; background-color: transparent; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">This search is open exclusively to candidates based in Latin America. </span><span style=""color: #000000; background-color: transparent; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: ..."
002fa11d29901b36406de43fbf3dce27,Online Data Analyst Canada (French Language),TELUS Digital,Canada,,part_time,,True,0.143,based,"go, social media, research",remotive,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-french-language-2090945,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-french-language-2090945,2026-06-04T21:05:36,2026-06-09T22:40:41.012040,"<p style=""border-color: rgb(229, 231, 235); --tw-shadow: 0 0 #0000; --tw-ring-inset: ; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb(59 130 246 / .5); --tw-ring-offset-shadow: 0 0 #0000; --tw-ring-shadow: 0 0 #0000; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-pan-x: ; --tw-pan-y: ; --tw-pinch-zoom: ; --tw-scroll-snap-strictness..."
9737e6e1e2fc5f9559b7f378dd68011c,Online Data Analyst United States Spanish speakers,TELUS Digital,USA,,part_time,,True,0.143,based,"go, social media, research",remotive,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-spanish-speakers-2090946,https://remotive.com/remote-jobs/all-others/online-data-analyst-united-states-spanish-speakers-2090946,2026-06-04T21:05:07,2026-06-09T22:40:41.028935,"<p style=""border-color: #e5e7eb; --tw-shadow: 0 0 #0000; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb(59 130 246 / .5); --tw-ring-offset-shadow: 0 0 #0000; --tw-ring-shadow: 0 0 #0000; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-scroll-snap-strictness: proximity; --tw-shadow-colored: 0 0 #0000; cursor: text; padding: 0px; coun..."
eca22d9a153cf32999ad60aa684f1888,Online Data Analyst Canada,TELUS Digital,Canada,,part_time,,True,0.143,based,"go, social media, research",remotive,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-2090944,https://remotive.com/remote-jobs/all-others/online-data-analyst-canada-2090944,2026-06-04T20:58:10,2026-06-09T22:40:41.037914,"<div class=""h4"" style=""border-color: rgb(229, 231, 235); --tw-shadow: 0 0 #0000; --tw-ring-inset: ; --tw-ring-offset-width: 0px; --tw-ring-offset-color: #fff; --tw-ring-color: rgb(59 130 246 / .5); --tw-ring-offset-shadow: 0 0 #0000; --tw-ring-shadow: 0 0 #0000; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-translate-x: 0; --tw-translate-y: 0; --tw-rotate: 0; --tw-skew-x: 0; --tw-skew-y: 0; --tw-scale-x: 1; --tw-scale-y: 1; --tw-pan-x: ; --tw-pan-y: ; --tw-pinch-zoom: ; --tw-scroll-sn..."
7230fc5977255468161483d150709cb2,Freelance Writer,IAPWE,Worldwide,$50-$75 /hour,freelance,,True,0.143,real,REST,remotive,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,2026-06-04T17:00:49,2026-06-09T22:40:41.052813,"<p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: normal; color: #000000;"">Our organization is seeking content writers to create articles and blog posts on a variety of topics.</p> <p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: normal; line-height: normal; color: #000000;""> </p> <p class=""p1"" style=""font-variant-numeric: normal; font-variant-east-asian: normal; font-stretch: no..."
